standard_var_name,description,ccmh_var_name
CLICC_1_21,"Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Racial, ethnic, or cultural concerns",CLICC_01_21
CLICC_1_22,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Sexual orientation,CLICC_01_22
CLICC_1_23,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Gender identity,CLICC_01_23
CLICC_1_24,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Religion/spirituality,CLICC_01_24
CLICC_1_25,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Discrimination,CLICC_01_25
CLICC_1_26,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Academic performance,CLICC_01_26
CLICC_1_27,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Career,CLICC_01_27
CLICC_1_28,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: OBSOLETE: Attention difficulties,CLICC_01_28
CLICC_1_1028,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Attention/concentration difficulties,CLICC_01_1028
CLICC_1_47,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Autism spectrum,CLICC_01_47
CLICC_1_48,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Learning disorder/disability,CLICC_01_48
CLICC_1_29,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Alcohol,CLICC_01_29
CLICC_1_30,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Drugs,CLICC_01_30
CLICC_1_31,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Addiction (not drugs or alcohol),CLICC_01_31
CLICC_1_32,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Self-injurious thoughts or behaviors,CLICC_01_32
CLICC_1_33,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Suicidality,CLICC_01_33
CLICC_1_34,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Violent thoughts or behaviors towards others,CLICC_01_34
CLICC_1_35,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Psychotic thoughts or behaviors,CLICC_01_35
CLICC_1_49,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Dissociative experience(s),CLICC_01_49
CLICC_1_36,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Trauma,CLICC_01_36
CLICC_1_37,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Physical abuse/assault (victim),CLICC_01_37
CLICC_1_38,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Sexual abuse/assault (victim),CLICC_01_38
CLICC_1_39,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Harassment/emotional abuse (victim),CLICC_01_39
CLICC_1_40,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Stalking (victim),CLICC_01_40
CLICC_1_41,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Financial,CLICC_01_41
CLICC_1_42,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Legal/judicial/conduct,CLICC_01_42
CLICC_1_43,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: None,CLICC_01_43
CLICC_1_44,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Other,CLICC_01_44
CLICC_3,Choose the top concern of those already selected,CLICC_03
CASECLOSURE_1_101,This section is used to record the reason(s) for closing this case.  Check all that apply answer: End of academic term (semester/quarter),CLOSURE_01_101
CASECLOSURE_1_102,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Client is ineligible for services,CLOSURE_01_102
CASECLOSURE_1_103,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Withdrawal - voluntary,CLOSURE_01_103
CASECLOSURE_1_104,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Withdrawal - involuntary,CLOSURE_01_104
CASECLOSURE_1_105,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Graduation of client,CLOSURE_01_105
CASECLOSURE_1_106,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Transfer to another institution,CLOSURE_01_106
CASECLOSURE_1_201,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Treatment goals were completed,CLOSURE_01_201
CASECLOSURE_1_202,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Client/provider mutual agreement,CLOSURE_01_202
CASECLOSURE_1_203,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Termination against provider recommendation,CLOSURE_01_203
CASECLOSURE_1_204,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Service limit was reached,CLOSURE_01_204
CASECLOSURE_1_205,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Referred out for continuation of services,CLOSURE_01_205
CASECLOSURE_1_206,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Referred out for higher level/specialized care,CLOSURE_01_206
CASECLOSURE_1_207,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Transferred to different treatment modality within center,CLOSURE_01_207
CASECLOSURE_1_208,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Transferred to another provider within center,CLOSURE_01_208
CASECLOSURE_1_209,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Departure of provider,CLOSURE_01_209
CASECLOSURE_1_301,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Declined further services,CLOSURE_01_301
CASECLOSURE_1_302,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Did not respond to communication(s),CLOSURE_01_302
CASECLOSURE_1_303,"This section is used to record the reason(s) for closing this case.  Check all that apply answer: Did not return for last scheduled appointment (e.g., no-show, cancellation, etc.)",CLOSURE_01_303
CASECLOSURE_1_304,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Financial reasons,CLOSURE_01_304
CASECLOSURE_1_401,This section is used to record the reason(s) for closing this case.  Check all that apply answer: Other case closure reason:,CLOSURE_01_401
CASECLOSURE_3,Choose the top-most reason for closure of those already selected,CLOSURE_03
CASECLOSURE_4_108,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Provided supportive documentation to campus partner (e.g. letter to professor, disability services)",CLOSURE_04_108
CASECLOSURE_4_101,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Client used a prescribed psychiatric medication",CLOSURE_04_101
CASECLOSURE_4_102,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Self-injurious behavior",CLOSURE_04_102
CASECLOSURE_4_103,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Suicidal ideation that required a safety plan",CLOSURE_04_103
CASECLOSURE_4_104,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Suicide attempt",CLOSURE_04_104
CASECLOSURE_4_105,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Thoughts of hurting others that required a safety plan",CLOSURE_04_105
CASECLOSURE_4_201,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Referral for hospitalization (by anyone including client) for: Suicidality",CLOSURE_04_201
CASECLOSURE_4_202,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Referral for hospitalization (by anyone including client) for: Thoughts or behaviors of hurting others",CLOSURE_04_202
CASECLOSURE_4_203,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Referral for hospitalization (by anyone including client) for: Drugs or alcohol",CLOSURE_04_203
CASECLOSURE_4_204,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Referral for hospitalization (by anyone including client) for: Other mental health concern",CLOSURE_04_204
CASECLOSURE_4_251,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Psychiatric Hospitalization: Admitted to hospital for mental health concern",CLOSURE_04_251
CASECLOSURE_4_301,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Death of client: Suicide",CLOSURE_04_301
CASECLOSURE_4_302,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Death of client: Accident",CLOSURE_04_302
CASECLOSURE_4_303,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Death of client: Drugs or alcohol",CLOSURE_04_303
CASECLOSURE_4_304,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Death of client: Other",CLOSURE_04_304
CASECLOSURE_4_107,"This section is used to record events that occurred at least once, between the first and last appointment.  Check all that apply answer: Other event:",CLOSURE_04_107
